arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,292,single_row,,,,,,3,0,
A,42,293,none,,,,,,4,0,
A,42,294,none,,,,,,4,0,
A,42,295,none,,,,,,4,0,
A,42,296,single_row,,,,,,8,0,
A,42,297,none,,,,,,2,0,
A,42,298,none,,,,,,5,0,
A,42,299,none,,,,,,6,0,
A,42,300,single_row,,,,,,7,0,
A,42,301,none,,,,,,2,0,
A,42,302,none,,,,,,4,0,
A,42,303,single_row,,,,,,5,0,
A,42,304,single_row,,,,,,4,0,
A,42,305,none,,,,,,3,0,
A,42,306,none,,,,,,2,0,
A,42,307,single_row,,,,,,5,0,
A,42,308,single_row,,,,,,5,0,
A,42,309,single_row,,,,,,6,0,
A,42,310,single_row,,,,,,5,0,
A,42,311,none,,,,,,8,0,
A,42,312,single_row,,,,,,5,0,
A,42,313,single_row,,,,,,6,0,
A,42,314,single_row,,,,,,7,0,
A,42,315,none,,,,,,6,0,
A,42,316,none,,,,,,6,0,
A,42,317,none,,,,,,4,0,
A,42,318,none,,,,,,4,0,
A,42,319,none,,,,,,5,0,
A,42,320,none,,,,,,5,0,
A,42,321,single_row,,,,,,5,0,
A,42,322,single_row,,,,,,5,0,
A,42,323,single_row,,,,,,5,0,
A,42,324,single_row,,,,,,5,0,
A,42,325,single_row,,,,,,4,0,
A,42,326,single_row,,,,,,4,0,
A,42,327,single_row,,,,,,4,0,
A,42,328,single_row,,,,,,5,0,
A,42,329,single_row,,,,,,4,0,
A,42,330,single_row,,,,,,5,0,
A,42,331,single_row,,,,,,5,0,
A,42,332,single_row,,,,,,4,0,
A,42,333,single_row,,,,,,4,0,
A,42,334,single_row,,,,,,6,0,
A,42,335,single_row,,,,,,5,0,
A,42,336,single_row,,,,,,4,0,
A,42,337,single_row,,,,,,5,0,
A,42,338,single_row,,,,,,6,0,
A,42,339,single_row,,,,,,5,0,
A,42,340,single_row,,,,,,5,0,
A,42,341,single_row,,,,,,4,0,
A,42,342,single_row,,,,,,6,0,
A,42,343,single_row,,,,,,7,0,
A,42,344,single_row,,,,,,6,0,
A,42,345,none,,,,,,6,0,
A,42,346,single_row,,,,,,8,0,
A,42,347,single_row,,,,,,6,0,
A,42,348,single_row,,,,,,9,0,
A,42,349,two_row,0.24947837171459852,-1.054002425099473,-0.02442835645938791,-0.012367419554415079,-0.018397888006901494,8,0,
A,42,350,two_row,0.27752244780429003,-2.9989335626372893,-0.0555223753244392,-0.049255855348407374,-0.052389115336423285,8,0,
A,42,351,single_row,,,,,,6,0,
A,42,352,two_row,0.16842368079120273,-0.2752713121170819,0.022498576106306158,-0.03210743150295493,-0.004804427698324388,9,0,
A,42,353,single_row,,,,,,7,0,
A,42,354,two_row,-0.17252794642361946,5.4871908812602435,-0.016238784426629262,0.2083656224023838,0.09606341898787726,7,0,slope_mismatch
A,42,355,two_row,0.20792563446306678,-0.4323407077334781,-0.022520747762876703,0.007428923645169304,-0.0075459120588537,8,0,
A,42,356,single_row,,,,,,7,0,
A,42,357,single_row,,,,,,6,0,
A,42,358,two_row,0.22471848513465364,0.5382234489758976,-0.006615640180527935,0.025403735414832204,0.009394047617152134,10,0,
A,42,359,single_row,,,,,,7,0,
A,42,360,none,,,,,,5,0,
A,42,361,single_row,,,,,,6,0,
A,42,362,single_row,,,,,,7,0,
A,42,363,single_row,,,,,,7,0,
A,42,364,single_row,,,,,,8,0,
A,42,365,single_row,,,,,,6,0,
A,42,366,two_row,0.12828906195622602,1.6059037291200435,0.03221263741285276,0.023858661385475127,0.028035649399163944,8,0,
A,42,367,single_row,,,,,,4,0,
A,42,368,single_row,,,,,,5,0,
A,42,369,single_row,,,,,,8,0,
A,42,370,single_row,,,,,,6,0,
A,42,371,none,,,,,,5,0,
A,42,372,single_row,,,,,,8,0,
A,42,373,two_row,0.16469418811534675,-2.0721353276357424,-0.035260722726331566,-0.037101996980133875,-0.03618135985323272,12,0,
A,42,374,single_row,,,,,,11,0,
A,42,375,none,,,,,,8,0,
A,42,376,single_row,,,,,,8,0,
A,42,377,single_row,,,,,,7,0,
A,42,378,single_row,,,,,,8,0,
A,42,379,single_row,,,,,,9,0,
A,42,380,single_row,,,,,,8,0,
A,42,381,two_row,0.08297452093261615,-2.2252936432314483,-0.047823144225664346,-0.029893338505945898,-0.038858241365805124,11,0,
A,42,382,two_row,0.14116373870845478,-3.1922536325729785,-0.061286214955566416,-0.05025990226959134,-0.05577305861257888,9,0,
A,42,383,two_row,0.13166331691200084,-3.0619170979607815,-0.08821871683047977,-0.018764215986534695,-0.05349146640850723,11,0,
A,42,384,two_row,0.133693126313029,-3.016010254178258,-0.08879223241098788,-0.016583732635625768,-0.05268798252330682,10,0,
A,42,385,two_row,0.029375891550577404,-0.7608831818638958,-0.03899501056607081,0.012433615632434633,-0.013280697466818089,11,0,
A,42,386,two_row,0.08336205716628808,-1.5799371002275195,-0.09378644054357825,0.03862224905466726,-0.027582095744455495,9,0,
A,42,387,two_row,0.01733038589685887,-0.24465584071897586,-0.025111836460036174,0.016571684645285405,-0.004270075907375385,8,0,
A,42,388,two_row,0.062476808286751284,-0.6487773414795021,-0.02196982904010958,-0.0006777403459890342,-0.011323784693049307,8,0,
A,42,389,two_row,0.09890328545259619,-0.21148636727502715,0.010111215874774041,-0.017493516265500508,-0.003691150195363233,7,0,
A,42,390,two_row,0.277752920260961,-5.923815660802299,-0.027503702500473584,-0.18001642962704112,-0.10376006606375734,10,0,
A,42,391,two_row,-0.09029417774718784,2.5587351046636773,-0.030501891031227833,0.11987801976783653,0.04468806436830435,8,0,
A,42,392,two_row,0.10820083798307256,0.5931104123388581,0.017195586571920635,0.003508612021981013,0.010352099296950823,12,0,
A,42,393,two_row,0.05646920586721926,1.6596840835986708,0.0071233970854928585,0.050826715767969405,0.028975056426731132,11,0,
A,42,394,two_row,0.036111727774968405,2.3563973163835725,0.03206953324028553,0.05023065673412184,0.041150094987203685,8,0,
A,42,395,two_row,0.15179749764834305,0.6463596873791506,0.02393063979753798,-0.0013674732410431673,0.011281583278247406,7,0,
A,42,396,two_row,0.07659016903031324,2.967130034354273,0.03485777839181796,0.06880728502670519,0.051832531709261574,9,0,
A,42,397,two_row,0.13462934920209957,0.2921029818515182,-0.024103343134267898,0.03429974904984552,0.005098202957788811,8,0,
A,42,398,two_row,0.08807562906176125,1.9470830435697264,0.014071643468774736,0.05392055186806347,0.0339960976684191,11,0,
A,42,399,two_row,0.11930484945464115,-0.8185970165459525,-0.009178342202201614,-0.019398028574474365,-0.014288185388337989,10,0,
A,42,400,two_row,0.13816294183230138,-0.7280661387783005,-0.01070654349628123,-0.014709127076832109,-0.01270783528655667,10,0,
A,42,401,two_row,0.15741283483276924,-0.2541162812345957,0.0001432448474729261,-0.009013634590729815,-0.004435194871628445,11,0,
A,42,402,two_row,0.08793625229091184,0.4355175033171308,-0.01907238694268195,0.03427510850632203,0.007601360781820041,12,0,
A,42,403,two_row,0.1661662407646889,0.07667372407962887,-0.024765950240327673,0.027442369707885036,0.0013382097337786818,13,0,
A,42,404,two_row,0.16631131760356455,0.5962127883382264,-0.014235872787709446,0.03504837639943397,0.010406251805862262,10,0,
A,42,405,two_row,0.20481321048692702,-1.9925886549208502,-0.018691970835389617,-0.05089054908927907,-0.03479125996233434,10,0,
A,42,406,two_row,0.21077621114884426,-1.2447432666413074,-0.016638929693815575,-0.026817643942788454,-0.021728286818302016,10,0,
A,42,407,two_row,0.20849452603056673,-0.785838702166768,-0.026453054069613645,-0.0009796115946945027,-0.013716332832154074,12,0,
A,42,408,two_row,0.20577427741517096,-0.2693698408843393,-0.02984431333548536,0.02044146280007345,-0.004701425267705955,11,0,
A,42,409,two_row,0.28323576924950744,-0.3558257599202163,-0.04869416265910742,0.036273340827696135,-0.006210410915705643,10,0,
A,42,410,two_row,0.20283835644452886,0.6065208675791952,-0.0195620942663907,0.04073445736526373,0.010586181549436515,11,0,
A,42,411,two_row,0.21772457351065067,0.2151310448024601,-0.016677722349170816,0.024187247749360163,0.0037547627000946732,12,0,
A,42,412,two_row,0.2182260094819748,-2.981277295424916,-0.08089240170892144,-0.023267827364774073,-0.05208011453684776,9,0,
A,42,413,two_row,0.1642036892102593,1.3142240096762612,0.009309660241581873,0.03657345903300278,0.022941559637292323,10,0,
A,42,414,two_row,0.147551673565257,2.057567968656236,-0.004868546551472596,0.07672210850728667,0.03592678097790704,11,0,
A,42,415,two_row,0.0715481157612945,3.961628487628253,-0.0026930260414821956,0.14120074486364959,0.0692538594110837,11,0,
A,42,416,two_row,0.04221429537275789,5.072648718917944,0.02718480016347356,0.1503481410392492,0.08876647060136138,8,0,
A,42,417,two_row,0.11833714883827673,1.238415016655504,0.012527720911968814,0.030707851367996124,0.02161778613998247,8,0,
A,42,418,two_row,0.08034562377744225,3.046243376652224,0.04751073288125593,0.058923526381587266,0.0532171296314216,9,0,
A,42,419,two_row,0.21509275620969814,-1.6929287915304878,-0.13074151693163485,0.07162995092865569,-0.02955578300148958,9,0,slope_mismatch
A,42,420,two_row,0.1342406820762443,1.710630420789828,-0.027252349784398805,0.08698236464741117,0.029865007431506184,10,0,
A,42,421,two_row,0.06360763290897375,4.210660391298672,0.024803947737772284,0.12244100116112602,0.07362247444944915,10,0,
A,42,422,two_row,0.20400192219403157,-1.1443445620005535,-0.14091714448925852,0.10096667144551737,-0.019975236521870575,9,0,slope_mismatch
A,42,423,two_row,0.19583403600959626,0.42501878829739126,-0.06083099707867466,0.07566722368490428,0.007418113303114808,8,0,
A,42,424,two_row,0.015529328480368476,5.664493892769765,0.004430483410032328,0.19394438811595938,0.09918743576299585,10,0,
A,42,425,two_row,0.15043787043338086,1.384504588920889,-0.004478607042631462,0.05281634282440334,0.024168867890885938,10,0,
A,42,426,two_row,-0.015051394921729466,5.954135266059118,-0.009712539585660674,0.21830247883067427,0.1042949696225068,10,0,slope_mismatch
A,42,427,two_row,-0.07355186477525633,6.163243692792024,-0.02541599781092999,0.24138743786962374,0.10798572002934688,10,0,slope_mismatch
A,42,428,two_row,0.03848909788261867,4.5302113191468925,0.03639889099930238,0.12206567275290278,0.07923228187610258,8,0,
A,42,429,two_row,0.15433895952900434,1.3456345632314088,-0.03317572218953915,0.08015586760055271,0.02349007270550678,12,0,
A,42,430,two_row,0.02454963727118653,4.127375725855304,0.041597890199252786,0.10272442844101018,0.07216115932013148,8,0,
A,42,431,two_row,0.10544643282547861,2.1763422295672954,-0.004428250414610764,0.0804334827439254,0.03800261616465732,9,0,
A,42,432,two_row,0.033018559525074154,4.138888627842138,0.049976775657541606,0.09474951760043338,0.07236314662898749,8,0,
A,42,433,two_row,0.03237882673715298,3.428587963668781,-0.013148516772689545,0.1329718711365923,0.05991167718195138,9,0,
A,42,434,single_row,,,,,,9,0,
A,42,435,two_row,0.07486476848218682,2.1741014798713434,-0.03811860967752505,0.11404551224261596,0.037963451282545455,9,0,
A,42,436,single_row,,,,,,8,0,
A,42,437,two_row,0.028538962763518305,2.4551031538699384,-0.04901562774157568,0.13476738386766918,0.04287587806304675,13,0,
A,42,438,two_row,-0.11323633068097638,5.457568009105533,-0.027410601525741225,0.2184939156846224,0.09554165707944058,12,0,slope_mismatch
A,42,439,two_row,0.09376779865087992,0.7708844588009236,-0.05191439992539574,0.07882496767096887,0.013455283872786567,13,0,
A,42,440,two_row,0.033579724533349564,1.5135714489845133,-0.03571656720929657,0.08856247107487648,0.026422951932789956,12,0,
A,42,441,two_row,0.0700710245858911,0.9302257480143679,-0.05897812311266096,0.09145198062006579,0.016236928753702418,12,0,
A,42,442,two_row,0.05588159269180659,1.1063954689526327,-0.040886629687958066,0.0795119182689133,0.019312644290477615,13,0,
A,42,443,two_row,0.11208225270019312,0.18105962965466849,-0.047714900630224086,0.054035095028200995,0.003160097198988455,12,0,
A,42,444,two_row,0.060030764673111414,1.1445679229498054,-0.016196790712260885,0.056155063635568075,0.019979136461653595,13,0,
A,42,445,two_row,0.08873716897090556,0.864162930672213,-0.02287710081629712,0.053044365176563656,0.015083632180133267,13,0,
A,42,446,two_row,0.08960341699762608,1.0672361719064964,-0.02783444308386154,0.06509232233802892,0.018628939627083688,13,0,
A,42,447,two_row,0.0926300539975532,0.6662240928505633,-0.024019175579975856,0.047275831687260815,0.01162832805364248,12,0,
A,42,448,two_row,0.08178670504868524,0.7768288714199486,-0.028360771451047963,0.055478876198294336,0.013559052373623186,13,0,
A,42,449,two_row,0.10686191286989544,0.087447378583093,-0.027595826431794937,0.030648318159002493,0.0015262458636037778,14,0,
A,42,450,two_row,0.09676544822038691,0.22716331475620966,-0.035319302059573295,0.04324883917282294,0.003964768556624823,12,0,
A,42,451,two_row,0.09472850156303281,0.9432942939028703,-0.03475805777729736,0.06768821555678387,0.016465078889743252,12,0,
A,42,452,two_row,0.16024378822565688,0.13253819133834444,-0.07162656865731469,0.07625303255640717,0.002313231949546239,11,0,
A,42,453,two_row,0.13512865059526713,0.3809916301012838,-0.04219927701197819,0.05549858976508633,0.0066496563765540695,11,0,
A,42,454,two_row,0.1837701595362411,-0.3035657048038666,-0.04263903136302374,0.03204249012055595,-0.005298270621233895,11,0,
A,42,455,two_row,0.16056024393360313,1.2125479395137475,-0.024918369251210052,0.0672505969924769,0.021166113870633427,12,0,
