seed,frame,cls,uc,v
42,334,1,52.1,549.5
42,334,0,571.0,514.5
42,334,0,596.0,473.5
42,334,0,597.0,474.0
42,334,1,155.8,625.0
42,334,1,387.5,554.0
42,334,1,581.0,508.0
42,334,0,541.5,542.5
42,334,1,624.5,445.0
42,334,1,157.6,569.0
42,334,0,611.0,460.5
42,334,0,503.5,591.5
42,334,0,610.5,460.2
42,334,0,619.5,449.8
42,334,1,623.5,447.8
42,335,1,11.7,558.5
42,335,1,119.2,636.0
42,335,0,563.0,473.5
42,335,1,358.0,528.5
42,335,0,472.8,582.5
42,335,1,547.0,507.5
42,335,0,564.0,474.0
42,335,0,577.0,460.5
42,335,0,539.0,513.5
42,335,0,30.5,467.8
42,335,0,510.2,541.5
42,335,1,121.1,569.0
42,336,1,90.9,638.0
42,336,1,334.5,639.0
42,336,1,620.0,369.0
42,336,0,452.5,588.0
42,336,1,566.0,439.0
42,336,0,541.0,472.0
42,336,0,517.0,510.5
42,336,1,94.2,570.0
42,336,0,489.0,540.0
42,336,0,541.0,472.2
42,336,1,525.5,506.5
42,336,0,19.6,442.5
42,336,1,337.0,542.0
42,336,0,582.0,418.0
42,336,0,542.0,472.2
42,336,0,583.0,417.0
42,336,0,554.0,458.5
42,336,0,519.5,509.2
42,337,1,45.3,640.0
42,337,1,301.0,640.0
42,337,0,419.2,587.5
42,337,0,517.5,458.0
42,337,1,580.0,370.5
42,337,0,504.8,471.5
42,337,0,455.2,539.0
42,337,1,490.5,504.0
42,337,0,482.0,509.0
42,337,0,518.0,458.0
42,337,0,517.0,457.8
42,337,1,304.5,543.5
42,337,1,530.0,436.5
42,337,0,637.0,454.0
42,338,1,265.4,640.0
42,338,1,7.5,421.5
42,338,1,456.5,504.0
42,338,0,385.0,589.5
42,338,1,635.0,521.0
42,338,0,421.5,541.0
42,338,0,471.5,475.5
42,338,0,482.8,460.0
42,338,0,447.0,508.0
42,338,0,616.0,484.0
42,339,1,590.0,525.5
42,339,1,223.0,639.0
42,339,0,445.5,461.8
42,339,0,621.5,565.5
42,339,0,412.0,514.0
42,339,1,420.0,508.0
42,339,1,503.5,378.2
42,339,0,349.5,596.0
42,339,0,434.2,475.2
42,339,0,572.5,485.5
42,339,1,226.4,541.5
42,339,1,456.2,443.5
42,339,1,591.0,503.5
42,340,1,162.8,640.0
42,340,0,566.0,555.5
42,340,1,537.5,522.5
42,340,1,375.0,506.8
42,340,1,455.5,379.0
42,340,0,389.8,476.8
42,340,0,637.0,552.0
42,340,0,302.8,607.5
42,340,0,366.8,514.5
42,340,0,340.5,547.0
42,341,1,124.5,640.0
42,341,1,506.0,522.0
42,341,1,426.0,383.0
42,341,0,535.0,554.0
42,341,0,360.8,477.0
42,341,1,347.0,512.0
42,341,0,372.8,465.5
42,341,1,505.8,523.5
42,341,0,273.0,608.0
42,341,0,574.0,596.0
42,341,0,362.0,478.0
42,341,0,312.2,559.0
42,342,1,103.4,640.0
42,342,0,520.5,564.0
42,342,1,493.8,522.5
42,342,0,560.0,587.0
42,342,0,327.8,523.5
42,342,0,361.0,467.0
42,342,1,334.5,517.0
42,342,0,636.0,525.0
42,342,0,594.0,564.0
42,342,0,634.0,527.0
42,342,0,631.0,528.5
42,342,1,372.0,445.0
42,343,1,81.1,640.0
42,343,1,402.5,384.5
42,343,1,325.0,517.0
42,343,0,339.0,481.5
42,343,1,481.5,525.5
42,343,0,550.0,594.0
42,343,0,316.5,525.0
42,343,0,511.0,560.0
42,343,0,350.0,468.0
42,343,1,324.0,516.0
42,344,1,66.2,638.5
42,344,0,507.0,561.0
42,344,1,477.8,523.5
42,344,1,396.5,385.0
42,344,0,312.2,524.0
42,344,0,547.0,594.0
42,344,1,318.8,521.5
42,344,0,461.5,487.8
42,344,0,240.2,627.5
42,344,0,580.5,568.0
42,345,1,59.7,639.5
42,345,1,395.5,382.5
42,345,0,506.8,564.5
42,345,0,88.3,523.0
42,345,1,477.0,525.5
42,345,0,237.9,626.0
42,345,0,332.8,487.8
42,345,0,344.0,471.0
42,345,0,280.5,571.0
42,345,0,310.0,529.0
42,345,1,317.5,524.0
42,345,0,545.5,551.5
