arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,334,none,,,,,,11,0,
A,42,335,none,,,,,,11,0,
A,42,336,none,,,,,,10,0,
A,42,337,none,,,,,,8,0,
A,42,338,none,,,,,,10,0,
A,42,339,none,,,,,,9,0,
A,42,340,none,,,,,,9,0,
A,42,341,none,,,,,,10,0,
A,42,342,none,,,,,,10,0,
A,42,343,single_row,,,,,,11,0,
A,42,344,none,,,,,,12,0,
A,42,345,single_row,,,,,,11,0,
A,42,346,none,,,,,,9,0,
A,42,347,none,,,,,,12,0,
A,42,348,none,,,,,,8,0,
A,42,349,none,,,,,,10,0,
A,42,350,none,,,,,,11,0,
A,42,351,none,,,,,,5,0,
A,42,352,none,,,,,,7,0,
A,42,353,none,,,,,,9,0,
A,42,354,single_row,,,,,,10,0,
A,42,355,none,,,,,,6,0,
A,42,356,none,,,,,,7,0,
A,42,357,none,,,,,,5,0,
A,42,358,none,,,,,,5,0,
A,42,359,none,,,,,,4,0,
A,42,360,single_row,,,,,,6,0,
A,42,361,none,,,,,,5,0,
A,42,362,none,,,,,,8,0,
A,42,363,single_row,,,,,,7,0,
A,42,364,none,,,,,,6,0,
A,42,365,none,,,,,,4,0,
A,42,366,none,,,,,,4,0,
A,42,367,single_row,,,,,,8,0,
A,42,368,none,,,,,,5,0,
A,42,369,single_row,,,,,,6,0,
A,42,370,single_row,,,,,,6,0,
A,42,371,none,,,,,,5,0,
A,42,372,none,,,,,,4,0,
A,42,373,none,,,,,,5,0,
A,42,374,single_row,,,,,,5,0,
A,42,375,none,,,,,,7,0,
A,42,376,single_row,,,,,,6,0,
A,42,377,none,,,,,,6,0,
A,42,378,single_row,,,,,,8,0,
A,42,379,single_row,,,,,,6,0,
A,42,380,none,,,,,,7,0,
A,42,381,none,,,,,,5,0,
A,42,382,single_row,,,,,,5,0,
A,42,383,single_row,,,,,,8,0,
A,42,384,single_row,,,,,,8,0,
A,42,385,single_row,,,,,,5,0,
A,42,386,none,,,,,,4,0,
A,42,387,single_row,,,,,,8,0,
A,42,388,none,,,,,,5,0,
A,42,389,single_row,,,,,,6,0,
A,42,390,none,,,,,,5,0,
A,42,391,single_row,,,,,,8,0,
A,42,392,none,,,,,,6,0,
A,42,393,single_row,,,,,,7,0,
A,42,394,single_row,,,,,,8,0,
A,42,395,single_row,,,,,,8,0,
A,42,396,single_row,,,,,,10,0,
A,42,397,single_row,,,,,,9,0,
A,42,398,single_row,,,,,,11,0,
A,42,399,two_row,0.19442517523112962,0.6052097476864646,-0.04047690850065148,0.061603499763621776,0.01056329563148515,10,0,
A,42,400,single_row,,,,,,9,0,
A,42,401,single_row,,,,,,10,0,
A,42,402,single_row,,,,,,8,0,
A,42,403,single_row,,,,,,9,0,
A,42,404,single_row,,,,,,9,0,
A,42,405,single_row,,,,,,9,0,
A,42,406,single_row,,,,,,8,0,
A,42,407,single_row,,,,,,8,0,
A,42,408,single_row,,,,,,9,0,
A,42,409,two_row,0.2657768615722796,0.12340125514220479,-0.10107742382358548,0.10538494689063664,0.002153761533525582,11,0,slope_mismatch
A,42,410,two_row,0.2622304724238765,0.5718318053003114,-0.01569853056984024,0.03565988888041399,0.009980679155286876,11,0,
A,42,411,two_row,0.303488524098098,-1.0407553277686525,-0.1008120595564634,0.06447884903070857,-0.018166605262877417,13,0,
A,42,412,single_row,,,,,,10,0,
A,42,413,single_row,,,,,,12,0,
A,42,414,single_row,,,,,,13,0,
A,42,415,single_row,,,,,,12,0,
A,42,416,two_row,0.2418824607832576,-2.1902498707239344,-0.11638807135160936,0.039896665156587616,-0.03824570309751087,14,0,
A,42,417,two_row,0.2582870419341152,-2.232417115707578,-0.10573581797176665,0.02777030247649854,-0.03898275774763406,14,0,
A,42,418,two_row,0.27131070720932127,-2.692178601212077,-0.10065577733451865,0.006611795321527425,-0.047021991006495616,12,0,
A,42,419,two_row,0.19097970046857826,-1.664863437619775,-0.10862728852563273,0.050496229850206756,-0.02906552933771299,13,0,
A,42,420,single_row,,,,,,11,0,
A,42,421,single_row,,,,,,10,0,
A,42,422,single_row,,,,,,12,0,
A,42,423,two_row,0.14606588678761284,-4.363674936242485,-0.12344193926794327,-0.029174244522496943,-0.0763080918952201,15,0,
A,42,424,single_row,,,,,,11,0,
A,42,425,two_row,0.07445277763222102,-2.4326752215563188,-0.09302297732128462,0.008055529803452519,-0.04248372375891605,15,0,
A,42,426,two_row,0.15010594364523305,-4.739206646415534,-0.15867390678881965,-0.007133923174188219,-0.08290391498150393,12,0,
A,42,427,two_row,0.06794940680099454,-3.6192890196630256,-0.11153996904983064,-0.014965358754168502,-0.06325266390199957,16,0,
A,42,428,single_row,,,,,,13,0,
A,42,429,two_row,0.050208546212865746,-1.4747995742587634,-0.09560320511053526,0.04411161588049852,-0.02574579461501837,12,0,
A,42,430,single_row,,,,,,10,0,
A,42,431,single_row,,,,,,11,0,
A,42,432,two_row,-0.053030558543798845,-0.2054157969676292,-0.05404665107711643,0.04687625637007584,-0.0035851973535202947,11,0,
A,42,433,two_row,0.1552445909890776,-5.721811620657302,-0.19816972086548798,-0.0022258018096044164,-0.1001977613375462,10,0,
A,42,434,two_row,-0.03227169609572239,-0.7389156809947002,-0.06655921306052415,0.04076475994415711,-0.012897226558183518,11,0,
A,42,435,two_row,0.07213116150931553,-2.9510860530781393,-0.10527961491268095,0.0021760885668090897,-0.05155176317293593,11,0,
A,42,436,two_row,0.058661018549427735,-1.59940671073375,-0.10913170879517613,0.05328737625648482,-0.027922166269345655,10,0,
A,42,437,single_row,,,,,,11,0,
A,42,438,single_row,,,,,,11,0,
A,42,439,two_row,-0.2178038933905282,1.825029715749483,-0.043459113543919764,0.10718622247120776,0.031863554463644,13,0,
A,42,440,two_row,-0.12474812091595622,-0.28018788247006615,-0.1348630885015019,0.12508260839110644,-0.004890240055197725,10,0,slope_mismatch
A,42,441,single_row,,,,,,9,0,
A,42,442,two_row,-0.14798804747243388,-1.579272053966171,-0.20183292667214828,0.1466919673306148,-0.027570479670766743,11,0,slope_mismatch
A,42,443,single_row,,,,,,11,0,
A,42,444,single_row,,,,,,8,0,
