seed,frame,cls,uc,v
42,1961,1,229.0,554.0
42,1961,1,291.8,443.5
42,1961,0,205.2,584.0
42,1961,0,139.2,638.5
42,1961,0,262.8,455.5
42,1961,0,287.8,449.5
42,1961,0,278.5,447.5
42,1961,1,18.3,511.5
42,1961,1,353.5,347.5
42,1961,1,398.0,446.5
42,1962,1,228.6,555.5
42,1962,1,291.5,445.5
42,1962,0,262.8,455.5
42,1962,0,427.0,486.8
42,1962,1,398.2,445.5
42,1962,0,278.8,447.8
42,1962,0,288.0,450.0
42,1962,1,608.0,469.0
42,1962,1,289.5,450.0
42,1962,0,425.5,489.5
42,1962,1,13.0,538.0
42,1963,1,292.2,445.5
42,1963,1,398.2,446.2
42,1963,1,228.2,555.0
42,1963,0,263.0,458.0
42,1963,0,15.0,541.0
42,1963,0,427.2,491.0
42,1963,0,279.0,448.5
42,1963,0,288.0,450.2
42,1963,1,354.2,348.5
42,1963,0,198.2,587.5
42,1963,1,290.5,449.5
42,1964,1,291.8,445.8
42,1964,1,398.5,447.0
42,1964,0,201.0,588.5
42,1964,0,277.5,448.8
42,1964,1,450.5,548.5
42,1964,1,227.0,560.0
42,1964,0,262.6,470.0
42,1964,0,428.0,493.2
42,1964,0,262.2,451.0
42,1964,0,287.5,450.5
42,1964,0,263.2,496.0
42,1964,0,428.0,495.0
42,1964,0,132.1,633.0
42,1965,1,228.4,558.5
42,1965,1,401.0,442.0
42,1965,1,294.0,444.8
42,1965,0,129.8,635.5
42,1965,0,29.9,487.5
42,1965,1,456.0,537.5
42,1965,0,265.0,487.0
42,1965,0,197.5,593.0
42,1965,0,280.8,447.5
42,1965,1,356.2,345.0
42,1966,1,402.5,444.5
42,1966,1,294.0,445.0
42,1966,1,226.1,560.5
42,1966,0,197.0,598.5
42,1966,0,263.5,458.0
42,1966,1,357.0,346.8
42,1966,0,280.0,447.0
42,1966,1,611.0,24.6
42,1967,1,292.0,448.0
42,1967,1,401.2,444.0
42,1967,0,196.1,598.0
42,1967,0,287.8,450.0
42,1967,0,277.5,449.2
42,1967,1,116.8,639.5
42,1967,1,457.5,534.0
42,1967,0,261.5,465.8
42,1967,1,224.5,565.0
42,1967,1,547.5,577.0
42,1967,0,623.0,474.5
42,1967,0,432.0,499.5
42,1967,0,236.8,534.0
42,1968,1,401.5,444.5
42,1968,1,292.0,448.0
42,1968,0,193.9,599.0
42,1968,0,277.2,450.5
42,1968,0,261.0,491.0
42,1968,0,287.5,450.5
42,1968,1,461.0,558.0
42,1968,0,420.2,467.5
42,1968,0,233.2,535.0
42,1969,1,401.5,447.0
42,1969,0,232.5,537.0
42,1969,0,260.0,472.5
42,1969,1,291.0,448.0
42,1969,0,192.8,587.5
42,1969,0,276.0,448.8
42,1969,1,220.8,570.0
42,1969,0,286.0,449.5
42,1970,0,260.0,493.0
42,1970,0,234.0,543.0
42,1970,0,191.2,615.0
42,1970,0,438.5,501.0
42,1970,1,405.5,451.0
42,1970,1,294.0,450.8
42,1970,1,220.2,579.5
42,1970,1,468.5,565.5
42,1970,0,220.5,575.0
42,1970,0,288.0,454.5
42,1970,0,278.2,454.0
42,1970,1,358.0,346.0
42,1971,1,405.2,456.5
42,1971,0,231.8,548.5
42,1971,1,217.5,586.0
42,1971,0,286.5,456.0
42,1971,1,292.5,455.0
42,1971,0,276.8,454.0
42,1971,0,260.0,472.0
42,1971,0,438.8,508.5
42,1971,0,261.0,489.5
42,1971,1,88.6,640.0
42,1971,1,357.0,348.5
42,1971,0,425.0,476.8
42,1971,1,470.5,563.5
42,1972,1,215.2,585.5
42,1972,1,406.0,456.0
42,1972,1,10.3,430.5
42,1972,1,292.5,455.0
42,1972,0,259.8,469.5
42,1972,1,291.0,456.5
42,1972,1,357.5,348.2
42,1972,0,276.5,457.5
42,1972,0,440.0,513.5
42,1972,0,286.5,458.0
42,1972,0,229.5,550.0
42,1973,1,214.0,590.0
42,1973,0,228.2,554.5
42,1973,0,258.8,470.5
42,1973,1,292.8,456.0
42,1973,0,442.5,508.5
42,1973,0,276.2,456.5
42,1973,0,286.2,457.5
42,1973,1,406.5,454.8
42,1973,1,358.0,348.5
42,1973,1,104.2,190.0
42,1973,1,476.5,564.0
42,1973,0,426.5,477.0
42,1973,0,179.6,638.0
42,1974,1,211.2,591.0
42,1974,1,407.8,454.0
42,1974,0,227.0,555.0
42,1974,1,59.2,640.0
42,1974,1,292.5,452.5
42,1974,0,286.0,453.2
42,1974,0,443.5,509.0
42,1974,0,256.9,471.5
42,1974,0,275.8,453.5
42,1974,0,256.9,495.5
42,1974,1,357.5,344.5
42,1974,1,530.0,453.5
42,1974,0,175.1,623.0
42,1975,1,406.5,453.5
42,1975,1,290.0,450.2
42,1975,0,170.4,632.5
42,1975,0,254.0,468.5
42,1975,0,443.5,507.5
42,1975,0,223.9,559.5
42,1975,1,207.2,595.0
42,1975,0,285.0,453.0
42,1975,1,482.2,572.5
42,1975,0,6.6,523.5
42,1975,0,273.2,456.5
42,1975,0,207.2,594.5
42,1975,1,356.0,343.5
42,1976,1,407.5,447.5
42,1976,1,290.0,447.5
42,1976,1,485.8,557.0
42,1976,1,204.9,599.0
42,1976,0,252.6,467.5
42,1976,0,445.8,509.5
42,1976,1,355.0,340.2
42,1976,0,429.5,465.2
42,1976,0,472.0,539.0
42,1976,0,272.0,452.5
42,1976,0,82.3,462.5
42,1976,0,284.5,452.0
42,1976,0,167.4,618.0
42,1977,1,200.5,605.0
42,1977,1,406.0,447.8
42,1977,1,62.5,462.0
42,1977,0,77.4,483.5
42,1977,0,219.8,564.0
42,1977,0,445.5,501.0
42,1977,0,251.0,474.0
42,1977,1,486.0,567.0
42,1977,0,271.2,455.8
42,1977,1,288.0,451.5
42,1977,0,160.5,599.0
42,1977,0,283.8,454.0
42,1977,1,407.0,445.5
42,1977,0,473.2,536.5
42,1978,1,198.5,606.5
42,1978,1,408.0,446.0
42,1978,0,251.8,493.0
42,1978,0,217.9,565.0
42,1978,0,157.0,617.0
42,1978,1,489.0,571.5
42,1978,0,271.5,456.0
42,1978,1,288.5,449.0
42,1978,1,36.7,136.9
42,1978,0,283.5,453.0
42,1978,0,579.0,493.5
42,1978,1,4.8,640.0
42,1978,1,356.2,337.5
42,1978,0,430.0,463.5
42,1979,1,197.1,612.0
42,1979,0,252.2,485.0
42,1979,1,290.0,449.5
42,1979,1,356.5,341.0
42,1979,0,218.0,569.0
42,1979,1,410.0,449.0
42,1979,0,153.8,634.0
42,1979,0,283.8,454.0
42,1979,1,496.5,606.0
42,1979,0,271.5,455.5
42,1979,1,493.5,577.0
42,1979,1,497.2,598.5
42,1980,0,251.9,505.5
42,1980,1,194.9,621.5
42,1980,0,216.2,574.5
42,1980,1,290.0,451.5
42,1980,1,411.5,449.0
42,1980,1,412.0,452.0
42,1980,0,148.2,631.0
42,1980,0,454.0,512.0
42,1980,1,499.5,536.0
42,1980,0,434.2,480.5
42,1980,0,272.0,457.5
42,1980,1,189.8,295.2
42,1980,1,500.0,610.0
42,1981,0,250.0,494.8
42,1981,1,290.0,452.5
42,1981,1,413.0,452.0
42,1981,0,212.2,579.0
42,1981,0,437.2,476.0
42,1981,0,456.0,521.0
42,1981,1,505.0,566.0
42,1981,0,272.2,465.0
42,1981,0,487.8,538.5
42,1981,0,621.5,521.5
42,1981,1,358.0,343.0
42,1981,1,187.9,368.5
42,1981,0,582.0,472.0
42,1981,0,487.5,478.5
42,1982,0,248.5,513.5
42,1982,1,413.5,455.0
42,1982,1,289.0,451.8
42,1982,1,187.8,634.0
42,1982,0,270.8,466.0
42,1982,1,357.5,337.5
42,1982,0,283.5,459.0
42,1982,1,510.5,542.5
42,1982,0,458.0,524.0
42,1982,0,210.5,586.5
42,1982,0,438.0,476.0
42,1982,0,137.2,631.0
42,1983,0,249.0,516.0
42,1983,1,414.5,453.5
42,1983,1,290.0,452.0
42,1983,1,188.0,635.5
42,1983,0,439.0,484.5
42,1983,0,459.0,524.5
42,1983,0,271.5,459.5
42,1983,1,357.5,337.0
42,1983,0,209.8,585.5
42,1983,1,516.5,605.0
42,1983,0,283.8,457.0
42,1984,0,246.6,525.0
42,1984,1,182.5,640.0
42,1984,1,289.5,456.0
42,1984,1,416.5,459.0
42,1984,0,463.0,535.5
42,1984,0,441.5,492.5
42,1984,0,499.5,590.5
42,1984,1,520.5,628.5
42,1984,0,283.5,465.5
42,1984,0,206.4,598.0
42,1984,0,271.2,473.5
42,1984,1,521.0,558.5
42,1984,0,126.9,640.0
42,1985,0,244.9,526.5
42,1985,1,178.9,639.0
42,1985,1,416.2,460.5
42,1985,1,524.5,639.0
42,1985,0,271.0,475.5
42,1985,0,203.9,599.5
42,1985,0,464.5,537.5
42,1985,0,282.0,468.2
42,1985,1,357.5,347.5
42,1985,1,288.2,461.8
42,1985,1,523.0,617.0
42,1985,0,442.5,483.5
42,1985,1,107.0,51.6
42,1985,0,465.0,522.5
42,1986,1,418.0,462.0
42,1986,0,245.6,530.5
42,1986,1,176.1,640.0
42,1986,1,529.5,638.0
42,1986,1,289.5,460.5
42,1986,0,202.5,609.5
42,1986,0,23.8,479.5
42,1986,1,359.0,342.5
42,1986,0,443.5,496.2
42,1986,0,505.0,610.5
42,1986,0,283.0,467.8
42,1986,0,506.5,562.0
42,1986,0,46.4,474.0
42,1986,1,419.5,466.8
42,1986,0,271.2,481.5
42,1987,1,175.6,639.0
42,1987,0,247.0,537.0
42,1987,1,421.8,469.0
42,1987,1,291.5,465.5
42,1987,1,361.0,347.5
42,1987,0,109.4,639.5
42,1987,0,471.2,547.0
42,1987,0,271.0,471.0
42,1987,0,45.8,479.5
42,1987,0,201.6,610.0
42,1987,0,591.0,639.0
42,1987,0,247.8,512.5
42,1987,0,447.8,488.5
42,1987,1,168.2,380.0
42,1987,1,536.0,565.0
42,1988,0,245.9,538.0
42,1988,0,100.4,638.5
42,1988,1,290.5,464.5
42,1988,0,41.6,487.5
42,1988,0,473.2,552.0
42,1988,1,361.5,348.0
42,1988,1,171.9,640.0
42,1988,0,270.5,473.8
42,1988,1,421.0,471.0
42,1988,1,421.5,467.0
42,1988,0,284.0,473.0
42,1988,1,9.6,486.5
42,1988,1,542.0,572.0
42,1988,0,61.2,505.0
42,1988,1,168.8,477.5
42,1988,0,599.0,640.0
42,1988,0,18.6,498.8
42,1988,1,169.9,638.0
42,1988,0,448.8,499.8
42,1989,0,94.3,639.0
42,1989,0,244.2,545.0
42,1989,1,168.4,639.5
42,1989,1,289.8,464.5
42,1989,0,473.8,554.0
42,1989,1,422.0,471.5
42,1989,1,359.8,348.5
42,1989,0,282.5,475.0
42,1989,0,9.2,556.0
42,1989,1,164.6,479.5
42,1989,0,449.0,508.0
42,1989,0,576.0,640.0
42,1989,0,271.8,496.0
42,1989,1,605.5,640.0
42,1989,1,547.0,543.0
42,1989,0,516.0,619.0
42,1990,0,244.0,543.5
42,1990,1,423.8,472.0
42,1990,1,165.5,639.0
42,1990,1,361.0,346.5
42,1990,1,290.5,466.0
42,1990,0,621.0,640.0
42,1990,1,27.6,529.0
42,1990,0,523.0,620.0
42,1990,0,452.0,507.0
42,1990,0,90.8,640.0
42,1990,1,154.8,390.5
42,1990,0,283.0,476.2
42,1990,0,271.5,500.5
42,1990,0,478.0,561.0
42,1991,1,423.8,468.5
42,1991,0,74.6,639.5
42,1991,1,559.0,639.5
42,1991,1,151.8,637.0
42,1991,0,269.5,496.0
42,1991,0,241.2,557.5
42,1991,1,289.0,466.5
42,1991,1,361.0,345.0
42,1991,1,558.0,554.5
42,1991,1,35.3,510.0
42,1991,1,559.5,473.0
42,1991,0,283.5,477.0
42,1991,0,630.5,640.0
42,1992,1,361.0,345.5
42,1992,0,240.5,558.5
42,1992,1,150.0,640.0
42,1992,1,34.6,482.0
42,1992,0,67.6,640.0
42,1992,1,289.5,466.5
42,1992,1,425.8,470.5
42,1992,0,455.0,508.0
42,1992,0,269.5,507.5
42,1992,1,145.9,398.5
42,1992,1,147.5,515.0
42,1992,0,531.0,623.5
42,1992,1,155.5,638.0
42,1992,1,567.0,577.0
42,1993,0,238.2,555.0
42,1993,0,455.5,511.0
42,1993,0,265.5,490.0
42,1993,1,147.8,638.0
42,1993,0,536.5,522.5
42,1993,1,425.5,474.2
42,1993,1,287.5,467.5
42,1993,0,5.1,536.5
42,1993,1,361.0,345.0
42,1993,0,485.2,557.5
42,1993,1,140.0,640.0
42,1993,0,620.0,640.0
42,1993,0,20.8,524.0
42,1993,0,537.0,634.0
42,1994,1,588.5,638.5
42,1994,1,144.5,639.5
42,1994,0,239.0,551.5
42,1994,0,459.8,514.0
42,1994,1,361.5,343.5
42,1994,0,489.5,567.0
42,1994,1,586.0,639.0
42,1994,1,288.5,468.5
42,1994,1,427.8,477.0
42,1994,0,461.0,502.5
42,1994,1,136.0,276.0
42,1994,1,136.2,368.5
42,1994,0,546.0,634.0
42,1994,0,544.0,523.0
42,1994,1,310.5,160.9
42,1994,1,587.0,543.5
42,1994,0,267.5,499.5
42,1994,0,18.2,524.5
42,1995,0,29.7,639.0
42,1995,0,238.5,556.5
42,1995,1,432.0,476.0
42,1995,1,290.5,469.0
42,1995,0,552.5,638.0
42,1995,1,140.4,640.0
42,1995,0,495.5,569.5
42,1995,0,283.5,480.0
42,1995,1,365.0,347.2
42,1995,0,269.2,495.5
42,1995,1,131.1,277.5
42,1995,1,597.0,550.0
42,1995,1,597.5,639.0
42,1995,0,464.0,518.0
42,1996,1,135.2,639.0
42,1996,1,124.1,278.0
42,1996,1,433.5,482.8
42,1996,0,21.2,640.0
42,1996,1,365.0,350.2
42,1996,1,290.2,481.5
42,1996,1,432.0,441.5
