arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,1961,single_row,,,,,,9,0,
A,42,1962,single_row,,,,,,10,0,
A,42,1963,single_row,,,,,,10,0,
A,42,1964,single_row,,,,,,10,0,
A,42,1965,single_row,,,,,,8,0,
A,42,1966,two_row,0.02143084789893851,-5.884119586508452,-0.11706099615180762,-0.08905866387053307,-0.10305983001117035,11,0,
A,42,1967,two_row,0.05768608323197488,-5.416169347744747,-0.12556223308269338,-0.06406290454637685,-0.09481256881453512,13,0,
A,42,1968,two_row,-0.022772300827715752,-3.5929428980536353,-0.09068812414302563,-0.03489389787629672,-0.06279101100966117,11,0,
A,42,1969,two_row,0.0028498602524942296,-4.742170930828449,-0.08790377214161374,-0.07800824249065566,-0.0829560073161347,13,0,
A,42,1970,single_row,,,,,,12,0,
A,42,1971,two_row,-0.06861028533011565,-3.084564329651237,-0.12066321711103291,0.01288746797665635,-0.05388787456718828,12,0,
A,42,1972,two_row,-0.045847293082525775,-4.496965601608372,-0.11470979024933889,-0.042587047291403744,-0.07864841877037132,11,0,
A,42,1973,two_row,-0.06335301863036075,-3.7040891738276907,-0.11154993493492821,-0.01792760007769633,-0.06473876750631227,12,0,
A,42,1974,two_row,-0.4751794342644655,0.8015187741593865,-0.12255751144776064,0.1505376199220477,0.013990054237143529,13,0,slope_mismatch
A,42,1975,two_row,-0.016088712234179403,-5.250364159706317,-0.10731323065426764,-0.07647377158760228,-0.09189350112093496,13,0,
A,42,1976,two_row,-0.03569623739453881,-5.060620858857308,-0.09917159541052922,-0.0779381939367893,-0.08855489467365926,12,0,
A,42,1977,two_row,-0.03371562527519539,-4.77891695523668,-0.10511692118171184,-0.06208666757470992,-0.08360179437821089,12,0,
A,42,1978,two_row,-0.03365658242549119,-5.5680904524397725,-0.12434571426138231,-0.07063149970417795,-0.09748860698278014,13,0,
A,42,1979,two_row,-0.034828436334587154,-6.705199600021646,-0.12319551876648424,-0.11193449095406845,-0.11756500486027635,15,0,
A,42,1980,two_row,-0.09724702534878854,-3.4492544787384376,-0.1239356218650452,0.0033882649676429347,-0.06027367844870113,16,1,
A,42,1981,two_row,-0.04464977218406807,-6.713859965751953,-0.11699548137842039,-0.11844101588469774,-0.11771824863155907,14,0,
A,42,1982,two_row,0.003545337802003723,-8.38274048895222,-0.1830117131097966,-0.11170701165437992,-0.14735936238208827,10,0,
A,42,1983,single_row,,,,,,12,0,
A,42,1984,single_row,,,,,,11,0,
A,42,1985,single_row,,,,,,12,0,
A,42,1986,single_row,,,,,,11,0,
A,42,1987,single_row,,,,,,11,0,
A,42,1988,single_row,,,,,,12,0,
A,42,1989,single_row,,,,,,11,0,
A,42,1990,single_row,,,,,,13,0,
A,42,1991,single_row,,,,,,12,0,
A,42,1992,two_row,-0.3216545310480834,-2.9928350972176085,-0.10711657435134495,0.002551803356046006,-0.05228238549764947,13,0,
A,42,1993,single_row,,,,,,12,0,
A,42,1994,two_row,-0.40285397160719344,2.7516742612204026,-0.10586065975989811,0.20198612639396102,0.04806273331703145,13,0,slope_mismatch
A,42,1995,single_row,,,,,,12,0,
A,42,1996,two_row,-0.5082238804051362,2.065690809682189,-0.1004940022851446,0.1726314723053721,0.03606873501011375,12,0,slope_mismatch
A,42,1997,two_row,-0.50897173185881,4.438412522089824,-0.14375960401810473,0.29900007545204715,0.07762023571697121,14,1,slope_mismatch
A,42,1998,two_row,-0.513347436683566,2.0605623497373338,-0.14566523628418585,0.21762345696659613,0.03597911034120514,12,0,slope_mismatch
A,42,1999,single_row,,,,,,12,0,
A,42,2000,two_row,-0.3408071502518344,1.6435342967775843,-0.1851094805546749,0.24249539080905694,0.028692955127191014,11,0,slope_mismatch
A,42,2001,single_row,,,,,,13,1,
A,42,2002,none,,,,,,10,0,
A,42,2003,none,,,,,,10,0,
A,42,2004,single_row,,,,,,12,0,
A,42,2005,single_row,,,,,,11,1,
A,42,2006,none,,,,,,12,0,
A,42,2007,none,,,,,,7,0,
A,42,2008,none,,,,,,7,0,
A,42,2009,none,,,,,,9,0,
A,42,2010,none,,,,,,8,0,
A,42,2011,none,,,,,,8,0,
A,42,2012,none,,,,,,7,0,
A,42,2013,none,,,,,,8,0,
A,42,2014,none,,,,,,7,0,
A,42,2015,none,,,,,,7,0,
A,42,2016,none,,,,,,8,0,
